#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
1	B1055-52	0.19711469	5.84E-15	0.093	0.011	-0.089	8.475	5.35E+05	1.09E+12	3.00E+34
2	J0736-6304	4.862873961	1.52E-13	0.104	-0.034	-0.098	8.492	5.07E+05	2.75E+13	5.20E+31
3	J0711-6830	0.005490969	1.49E-20	0.106	-0.042	-0.096	8.484	5.84E+09	2.90E+08	3.60E+33
4	B0923-58	0.73950547	4.92E-15	0.107	-0.01	-0.105	8.484	2.38E+06	1.93E+12	4.80E+32
5	J1107-5907	0.252773323	9.00E-18	0.115	0.002	-0.108	8.461	4.45E+08	4.83E+10	2.20E+31
6	B1014-53	0.769585867	1.93E-15	0.117	0.005	-0.115	8.477	6.33E+06	1.23E+12	1.70E+32
7	J1000-5149	0.255677098	9.60E-16	0.127	0.006	-0.126	8.482	4.22E+06	5.01E+11	2.30E+33
8	J1105-4353	0.351111862	2.50E-15	0.127	0.033	-0.119	8.471	2.23E+06	9.48E+11	2.30E+33
9	B0538-75	1.245856133	5.78E-16	0.143	-0.073	-0.117	8.464	3.42E+07	8.58E+11	1.20E+31
10	J0437-4715	0.005757452	5.73E-20	0.157	-0.105	-0.112	8.533	1.59E+09	5.81E+08	1.20E+34
11	J0517+2212	0.222366515	1.16E-17	0.159	-0.025	-0.006	8.657	3.04E+08	5.14E+10	4.20E+31
12	J0459-0210	1.133076124	1.40E-15	0.16	-0.069	-0.053	8.634	1.28E+07	1.27E+12	3.80E+31
13	J1856-3754	7.05520287	2.98E-14	0.16	-0.047	-0.004	8.347	3.76E+06	1.47E+13	3.30E+30
14	J2144-3933	8.509827491	4.96E-16	0.16	-0.122	0.005	8.396	2.72E+08	2.08E+12	3.20E+28
15	J0613+3731	0.619198181	3.24E-15	0.186	0.03	0.015	8.683	3.02E+06	1.43E+12	5.40E+32
16	J0633+1746	0.237099442	1.10E-14	0.19	0.014	-0.049	8.683	3.42E+05	1.63E+12	3.20E+34
17	B0834+06	1.273768292	6.80E-15	0.19	0.084	-0.109	8.631	2.97E+06	2.98E+12	1.30E+32
18	B0901-63	0.660313372	1.07E-16	0.192	-0.037	-0.185	8.466	9.78E+07	2.69E+11	1.50E+31
19	B1740-03	0.444645107	1.56E-15	0.2	0.046	0.072	8.319	4.53E+06	8.42E+11	7.00E+32
20	B1742-30	0.367433725	1.07E-14	0.2	-0.003	-0.005	8.3	5.46E+05	2.00E+12	8.50E+33
21	B1749-28	0.562557636	8.13E-15	0.2	-0.003	0.005	8.3	1.10E+06	2.16E+12	1.80E+33
22	J1725-0732	0.239919487	4.30E-16	0.203	0.054	0.054	8.312	8.85E+06	3.25E+11	1.20E+33
23	J1737-0811	0.004175017	7.93E-21	0.206	0.044	0.059	8.307	8.34E+09	1.84E+08	4.30E+33
24	J0108-1431	0.807564614	7.70E-17	0.21	-0.204	0.03	8.537	1.66E+08	2.52E+11	5.80E+30
25	J0636+5129	0.002868953	3.44E-21	0.21	0.067	0.055	8.691	1.32E+10	1.01E+08	5.80E+33
26	J0605+3757	0.002727954	4.80E-21	0.215	0.03	0.022	8.712	9.00E+09	1.16E+08	9.30E+33
27	J1714-1054	0.696278743	5.88E-17	0.215	0.058	0.041	8.297	1.88E+08	2.05E+11	6.90E+30
28	J1700-0954	0.817311602	7.52E-16	0.217	0.072	0.037	8.299	1.72E+07	7.93E+11	5.40E+31
29	J1658+3630	0.033027982	1.16E-19	0.224	0.137	0.153	8.41	4.52E+09	1.98E+09	1.30E+32
30	J1745-0952	0.019376303	9.25E-20	0.226	0.039	0.063	8.286	3.32E+09	1.35E+09	5.00E+32
31	J2322-2650	0.003463099	5.83E-22	0.227	-0.214	0.037	8.433	9.41E+10	4.55E+07	5.50E+32
32	J1755-0903	0.190709643	7.81E-16	0.235	0.033	0.073	8.279	3.87E+06	3.91E+11	4.40E+33
33	J1503+2111	3.314001501	1.40E-16	0.244	0.21	0.061	8.391	3.75E+08	6.89E+11	1.50E+29
34	J1017-7156	0.002338514	2.22E-21	0.256	-0.056	-0.233	8.408	1.67E+10	7.29E+07	6.90E+33
35	B0950+08	0.253065165	2.30E-16	0.261	0.18	-0.142	8.624	1.75E+07	2.44E+11	5.60E+32
36	J2222-0137	0.032817859	5.80E-20	0.267	-0.192	0.164	8.413	8.96E+09	1.40E+09	6.50E+31
37	J1400-1431	0.003084233	7.23E-21	0.278	0.197	-0.107	8.336	6.76E+09	1.51E+08	9.70E+33
38	B0833-45	0.089328385	1.25E-13	0.28	-0.014	-0.278	8.531	1.13E+04	3.38E+12	6.90E+36
39	B1114-41	0.943157883	7.95E-15	0.28	0.087	-0.258	8.434	1.88E+06	2.77E+12	3.70E+32
40	B0656+14	0.384928623	5.49E-14	0.288	0.041	-0.103	8.766	1.11E+05	4.65E+12	3.80E+34
41	B0940-55	0.664388681	2.27E-14	0.3	-0.012	-0.296	8.455	4.64E+05	3.93E+12	3.10E+33
42	B0959-54	1.436630854	5.16E-14	0.3	0	-0.295	8.447	4.41E+05	8.71E+12	6.90E+32
43	J1741-2054	0.413700121	1.70E-14	0.3	0.026	0.033	8.203	3.86E+05	2.68E+12	9.50E+33
44	B1822-09	0.769020998	5.24E-14	0.3	0.007	0.11	8.221	2.33E+05	6.42E+12	4.50E+33
45	J1836+5925	0.173263836	1.50E-15	0.3	0.127	0.272	8.495	1.83E+06	5.16E+11	1.10E+34
46	B1919+21	1.33730216	1.35E-15	0.3	0.018	0.248	8.332	1.57E+07	1.36E+12	2.20E+31
47	B1944+17	0.440618477	2.41E-17	0.3	-0.018	0.246	8.33	2.90E+08	1.04E+11	1.10E+31
48	B1929+10	0.226518747	1.16E-15	0.31	-0.021	0.228	8.291	3.10E+06	5.18E+11	3.90E+33
49	B0628-28	1.244418596	7.12E-15	0.32	-0.092	-0.257	8.667	2.77E+06	3.01E+12	1.50E+32
50	J0030+0451	0.004865453	1.02E-20	0.325	-0.274	0.16	8.568	7.58E+09	2.25E+08	3.50E+33
51	J0750-6846	0.915215804	1.10E-16	0.338	-0.116	-0.312	8.439	1.32E+08	3.21E+11	5.60E+30
52	J1045-4509	0.007474224	1.77E-20	0.34	0.072	-0.326	8.437	6.70E+09	3.68E+08	1.70E+33
53	B0905-51	0.253557725	1.83E-15	0.341	-0.018	-0.34	8.487	2.19E+06	6.90E+11	4.40E+33
54	J1719-1438	0.005790152	8.04E-21	0.341	0.076	0.051	8.171	1.14E+10	2.18E+08	1.60E+33
55	J0912-3851	1.526085076	3.59E-15	0.346	0.04	-0.341	8.541	6.74E+06	2.37E+12	4.00E+31
56	B0932-52	1.444777141	4.65E-15	0.349	-0.004	-0.347	8.465	4.92E+06	2.62E+12	6.10E+31
57	J0945-4833	0.331585599	4.83E-15	0.352	0.023	-0.35	8.474	1.09E+06	1.28E+12	5.20E+33
58	B0826-34	1.848918804	9.96E-16	0.354	0.016	-0.34	8.598	2.94E+07	1.37E+12	6.20E+30
59	J0919-6040	1.216975723	1.00E-17	0.355	-0.048	-0.347	8.441	1.93E+09	1.12E+11	2.20E+29
60	J0815+4611	0.434242252	3.90E-18	0.358	0.197	0.033	8.797	1.76E+09	4.16E+10	1.90E+30
61	J0905-6019	0.340854177	5.22E-16	0.359	-0.055	-0.351	8.449	1.03E+07	4.27E+11	5.20E+32
62	J0932-5327	4.392158713	8.37E-15	0.359	-0.009	-0.357	8.463	8.31E+06	6.14E+12	3.90E+30
63	B0957-47	0.67008587	8.47E-17	0.361	0.034	-0.358	8.464	1.25E+08	2.41E+11	1.10E+31
64	B1001-47	0.307074219	2.07E-15	0.369	0.039	-0.365	8.461	2.35E+06	8.07E+11	2.80E+33
